date,ingredient_id,ingredient_name,historical_sales,day_of_week,month,is_weekend,is_holiday,lag_7,rolling_avg_7,temperature,promotion_flag,special_event,economic_index
2022-04-20,A014,Besan,120,3,4,0,0,110,115,36,0,None,88
2022-08-15,B014,Turmeric,88,1,8,0,1,75,80,33,1,Independence Day,90
2022-11-05,C013,Walnuts,165,6,11,1,0,155,160,30,0,None,82
2022-12-31,D016,Cumin,132,6,12,1,0,125,130,26,0,None,88
2022-07-16,A015,Quinoa,142,6,7,1,0,135,140,35,0,None,78
2022-05-22,B015,Chilli Powder,112,7,5,1,0,105,110,40,0,None,80
2022-01-21,C014,Pumpkin Seeds,102,5,1,0,0,95,100,23,0,None,80
2022-03-25,D017,Poppy Seeds,175,5,3,0,0,165,170,33,0,None,85
2022-04-21,A016,Suji,115,4,4,0,0,110,115,37,0,None,88
2022-08-16,B016,Coriander,95,2,8,0,0,90,95,34,0,None,90
2022-11-06,C015,Melon Seeds,125,7,11,1,0,120,125,31,0,None,82
2022-01-01,D018,Fennel,88,6,1,1,0,80,85,24,0,None,88
2022-07-17,A017,Buckwheat,132,7,7,1,0,130,135,36,0,None,78
2022-05-23,B017,Garam Masala,155,1,5,0,0,150,155,41,0,None,80
2022-01-22,C016,Chia Seeds,112,6,1,1,0,105,110,25,0,None,80
2022-03-26,D019,Star Anise,142,6,3,1,0,140,145,34,0,None,85
2022-04-22,A018,Dalia,98,5,4,0,0,95,100,38,0,None,88
2022-08-17,B018,Mustard Seeds,78,3,8,0,0,75,80,35,0,None,90
2022-11-07,C017,Watermelon Seeds,115,1,11,0,0,110,115,32,0,None,82
2022-01-02,D020,Bay Leaf,65,7,1,1,0,60,70,25,0,None,88
2022-07-18,A019,Amaranth,148,1,7,0,0,145,150,37,0,None,78
2022-05-24,B019,Chana Dal,165,2,5,0,0,160,165,42,0,None,80
2022-01-23,C018,Flö Seeds,125,7,1,1,0,120,125,26,0,None,80
2022-03-27,D021,Carom Seeds,188,7,3,1,0,185,190,35,0,None,85
2022-04-23,A020,Rice Flour,112,6,4,1,0,110,115,39,0,None,88
2022-08-18,B020,Turmeric Powder,102,4,8,0,0,100,105,36,0,None,90
2022-11-08,C019,Sunflower Oil,178,2,11,0,0,175,180,33,0,None,82
2022-01-03,D022,Cardamom Pods,95,1,1,0,0,90,95,26,0,None,88
2022-07-19,A021,Foxnuts,132,2,7,0,0,130,135,38,0,None,78
2022-05-25,B021,Urad Dal,145,3,5,0,0,140,145,43,0,None,80
2022-01-24,C020,Pine Nuts,115,1,1,0,0,110,115,27,0,None,80
2022-03-28,D023,Dill Seeds,165,1,3,0,0,160,165,36,0,None,85
2022-04-24,A022,Corn Starch,88,7,4,1,0,85,90,40,0,None,88
2022-08-19,B022,Red Chilli,78,5,8,0,0,75,80,37,0,None,90
2022-11-09,C021,Olive Oil,198,3,11,0,0,195,200,34,0,None,82
2022-01-04,D024,Fenugreek Seeds,112,2,1,0,0,110,115,27,0,None,88
2022-07-20,A023,Sorghum,155,3,7,0,0,150,155,39,0,None,78
2022-05-26,B023,Moong Dal,132,4,5,0,0,130,135,44,0,None,80
2022-01-25,C022,Hemp Seeds,125,2,1,0,0,120,125,28,0,None,80
2022-03-29,D025,Black Salt,142,2,3,0,0,140,145,37,0,None,85
2022-04-25,A024,Tapioca,105,1,4,0,0,100,105,41,0,None,88
2022-08-20,B024,Cumin Seeds,95,6,8,1,0,90,95,38,0,None,90
2022-11-10,C022,Sesame Oil,165,4,11,0,0,160,165,35,0,None,82
2022-01-05,D026,Black Pepper,88,3,1,0,0,85,90,28,0,None,88
2022-07-21,A025,Teff,178,4,7,0,0,175,180,40,0,None,78
2022-05-27,B025,Rajma,145,5,5,0,0,140,145,45,0,None,80
2022-01-26,C023,Chironji,132,3,1,0,0,130,135,29,0,None,80
2022-03-30,D027,White Pepper,155,3,3,0,0,150,155,38,0,None,85
2022-04-26,A026,Arrowroot,112,2,4,0,0,110,115,42,0,None,88
2022-08-21,B026,Fennel Seeds,102,7,8,1,0,100,105,39,0,None,90
2022-11-11,C024,Coconut Oil,188,5,11,0,0,185,190,36,0,None,82
2022-01-06,D028,Asafoetida,105,4,1,0,0,100,105,29,0,None,88
2022-07-22,A027,Kodo Millet,165,5,7,0,0,160,165,41,0,None,78
2022-05-28,B027,Chawli,148,6,5,1,0,145,150,46,0,None,80
2022-01-27,C024,Sabja Seeds,142,4,1,0,0,140,145,30,0,None,80
2022-03-31,D029,Black Cardamom,175,4,3,0,0,170,175,39,0,None,85
2022-04-27,A028,Barnyard Millet,125,3,4,0,0,120,125,43,0,None,88
2022-08-22,B028,Nigella Seeds,115,1,8,0,0,110,115,40,0,None,90
2022-11-12,C025,Groundnut Oil,198,6,11,1,0,195,200,37,0,None,82
2022-01-07,D030,Cloves,112,5,1,0,0,110,115,30,0,None,88
2022-07-23,A029,Little Millet,188,6,7,1,0,185,190,42,0,None,78
2022-05-29,B029,Matki,165,7,5,1,0,160,165,47,0,None,80
2022-01-28,C025,Basil Seeds,155,5,1,0,0,150,155,31,0,None,80
2022-04-01,D031,Green Cardamom,198,5,4,0,0,195,200,40,0,None,85
2022-04-28,A030,Job's Tears,142,4,4,0,0,140,145,44,0,None,88
2022-08-23,B030,Caraway Seeds,125,2,8,0,0,120,125,41,0,None,90
2022-11-13,C026,Mustard Oil,210,7,11,1,0,205,210,38,0,None,82
2022-01-08,D032,Mace,132,6,1,1,0,130,135,31,0,None,88
2022-07-24,A031,Proso Millet,175,7,7,1,0,170,175,43,0,None,78
2022-05-30,B031,Moth Beans,188,1,5,0,0,185,190,48,0,None,80
2022-01-29,C026,Khus Khus,165,6,1,1,0,160,165,32,0,None,80
2022-04-02,D033,Long Pepper,210,6,4,1,0,205,210,41,0,None,85
2022-04-29,A032,Adlai,155,5,4,0,0,150,155,45,0,None,88
2022-08-24,B032,Black Cumin,142,3,8,0,0,140,145,42,0,None,90
2022-11-14,C027,Rice Bran Oil,225,1,11,0,0,220,225,39,0,None,82
2022-01-09,D034,Nutmeg,148,7,1,1,0,145,150,32,0,None,88
2022-07-25,A033,Finger Millet,198,1,7,0,0,195,200,44,0,None,78
2022-05-31,B033,Kabuli Chana,175,2,5,0,0,170,175,49,0,None,80
2022-01-30,C027,Gond,188,7,1,1,0,185,190,33,0,None,80
2022-04-03,D035,Galangal,165,7,4,1,0,160,165,42,0,None,85
2022-04-30,A034,Canary Seeds,178,6,4,1,0,175,180,46,0,None,88
2022-08-25,B033,Black Mustard,155,4,8,0,0,150,155,43,0,None,90
2022-11-15,C028,Soybean Oil,210,2,11,0,0,205,210,40,0,None,82
2022-01-10,D036,Star Anise,165,1,1,0,0,160,165,33,0,None,88
2022-07-26,A035,Browntop Millet,225,2,7,0,0,220,225,45,0,None,78
2022-06-01,B034,Green Peas,198,3,6,0,0,195,200,50,0,None,80
2022-01-31,C028,Charoli,175,1,1,0,0,170,175,34,0,None,80
2022-04-04,D037,Licorice,188,1,4,0,0,185,190,43,0,None,85
2022-05-01,A036,Fonio,165,7,5,1,0,160,165,47,0,None,88
2022-08-26,B035,Yellow Mustard,148,5,8,0,0,145,150,44,0,None,90
2022-11-16,C029,Corn Oil,235,3,11,0,0,230,235,41,0,None,82
2022-01-11,D038,Black Stone Flower,178,2,1,0,0,175,180,34,0,None,88
2022-07-27,A036,Japanese Millet,210,3,7,0,0,205,210,46,0,None,78
2022-06-02,B036,White Peas,225,4,6,0,0,220,225,51,0,None,80
2022-02-01,C029,Magaz,198,2,2,0,0,195,200,35,0,None,80
2022-04-05,D039,Stone Flower,175,2,4,0,0,170,175,44,0,None,85
2022-05-02,A037,Guar,188,1,5,0,0,185,190,48,0,None,88
2022-08-27,B036,Brown Mustard,165,6,8,1,0,160,165,45,0,None,90
2022-11-17,C030,Sunflower Oil,245,4,11,0,0,240,245,42,0,None,82
2022-01-12,D040,Dagad Phool,188,3,1,0,0,185,190,35,0,None,88
2022-07-28,A038,African Millet,235,4,7,0,0,230,235,47,0,None,78
2022-06-03,B037,Black Peas,210,5,6,0,0,205,210,52,0,None,80
2022-02-02,C030,Lotus Seeds,225,3,2,0,0,220,225,36,0,None,80
2022-04-06,D041,Pathar Phool,198,3,4,0,0,195,200,45,0,None,85
2022-05-03,A039,Cluster Beans,175,2,5,0,0,170,175,49,0,None,88
2022-08-28,B037,White Mustard,188,7,8,1,0,185,190,46,0,None,90
2022-11-18,C031,Cottonseed Oil,255,5,11,0,0,250,255,43,0,None,82
2022-01-13,D042,Kalpasi,198,4,1,0,0,195,200,36,0,None,88
2022-07-29,A040,Indian Barnyard Millet,245,5,7,0,0,240,245,48,0,None,78
2022-06-04,B038,Green Gram,235,6,6,1,0,230,235,53,0,None,80
2022-02-03,C031,Water Chestnut,210,4,2,0,0,205,210,37,0,None,80
2022-04-07,D043,Black Stone Flower,225,4,4,0,0,220,225,46,0,None,85
2022-05-04,A041,Winged Beans,198,3,5,0,0,195,200,50,0,None,88
2022-08-29,B038,Black Mustard,175,1,8,0,0,170,175,47,0,None,90
2022-11-19,C032,Safflower Oil,265,6,11,1,0,260,265,44,0,None,82
2022-01-14,D044,Licorice Root,210,5,1,0,1,205,210,37,1,Makar Sankranti,88
2022-07-30,A042,Kodo Millet,255,6,7,1,0,250,255,49,0,None,78
2022-06-05,B039,Horse Gram,245,7,6,1,0,240,245,54,0,None,80
2022-02-04,C032,Singhara,225,5,2,0,0,220,225,38,0,None,80
2022-04-08,D045,Black Cardamom,235,5,4,0,0,230,235,47,0,None,85
2022-05-05,A043,Yardlong Beans,210,4,5,0,0,205,210,51,0,None,88
2022-08-30,B039,Yellow Mustard,198,2,8,0,0,195,200,48,0,None,90
2022-11-20,C033,Olive Oil,275,7,11,1,0,270,275,45,0,None,82
2022-01-15,D046,Star Anise,225,6,1,1,1,220,225,38,1,Makar Sankranti,88
2022-07-31,A044,Foxtail Millet,265,7,7,1,0,260,265,50,0,None,78
2022-06-06,B040,Black Gram,255,1,6,0,0,250,255,55,0,None,80
2022-02-05,C033,Gorgon Nut,235,6,2,1,0,230,235,39,0,None,80
2022-04-09,D047,Long Pepper,245,6,4,1,0,240,245,48,0,None,85
2022-05-06,A045,Lablab Beans,225,5,5,0,0,220,225,52,0,None,88
2022-08-31,B040,Brown Mustard,210,3,8,0,0,205,210,49,0,None,90
2022-11-21,C034,Avocado Oil,285,1,11,0,0,280,285,46,0,None,82
2022-01-16,D048,Black Pepper,235,7,1,1,0,230,235,39,0,None,88
2022-08-01,A045,Proso Millet,275,1,8,0,0,270,275,51,0,None,78
2022-06-07,B041,Green Gram,265,2,6,0,0,260,265,56,0,None,80
2022-02-06,C034,Water Caltrop,245,7,2,1,0,240,245,40,0,None,80
2022-04-10,D049,Galangal,255,7,4,1,0,250,255,49,0,None,85
2022-05-07,A046,Hyacinth Beans,235,6,5,1,0,230,235,53,0,None,88
2022-09-01,B041,Black Mustard,225,4,9,0,0,220,225,50,0,None,90
2022-11-22,C035,Grapeseed Oil,295,2,11,0,0,290,295,47,0,None,82
2022-01-17,D050,White Pepper,245,1,1,0,0,240,245,40,0,None,88
2022-08-02,A046,Little Millet,285,2,8,0,0,280,285,52,0,None,78
2022-06-08,B042,Black Gram,275,3,6,0,0,270,275,57,0,None,80
2022-02-07,C035,Lotus Root,255,1,2,0,0,250,255,41,0,None,80
2022-04-11,D051,Stone Flower,265,1,4,0,0,260,265,50,0,None,85
2022-05-08,A047,Snake Beans,245,7,5,1,0,240,245,54,0,None,88
2022-09-02,B042,Yellow Mustard,235,5,9,0,0,230,235,51,0,None,90
2022-11-23,C036,Walnut Oil,305,3,11,0,0,300,305,48,0,None,82
2022-01-18,D052,Green Cardamom,255,2,1,0,0,250,255,41,0,None,88
2022-08-03,A047,Kodo Millet,295,3,8,0,0,290,295,53,0,None,78
2022-06-09,B043,Horse Gram,285,4,6,0,0,280,285,58,0,None,80
2022-02-08,C036,Water Spinach,265,2,2,0,0,260,265,42,0,None,80
2022-04-12,D053,Pathar Phool,275,2,4,0,0,270,275,51,0,None,85
2022-05-09,A048,French Beans,255,1,5,0,0,250,255,55,0,None,88
2022-09-03,B043,Brown Mustard,245,6,9,1,0,240,245,52,0,None,90
2022-11-24,C037,Almond Oil,315,4,11,0,0,310,315,49,0,None,82
2022-01-19,D053,Mace,265,3,1,0,0,260,265,42,0,None,88
2022-08-04,A048,Finger Millet,305,4,8,0,0,300,305,54,0,None,78
2022-06-10,B044,Green Peas,295,5,6,0,0,290,295,59,0,None,80
2022-02-09,C037,Water Mimosa,275,3,2,0,0,270,275,43,0,None,80
2022-04-13,D054,Kalpasi,285,3,4,0,0,280,285,52,0,None,85
2022-05-10,A049,Broad Beans,265,2,5,0,0,260,265,56,0,None,88
2022-09-04,B044,Black Mustard,255,7,9,1,0,250,255,53,0,None,90
2022-11-25,C038,Hazelnut Oil,325,5,11,0,0,320,325,50,0,None,82
2022-01-20,D054,Nutmeg,275,4,1,0,0,270,275,43,0,None,88
2022-08-05,A049,Browntop Millet,315,5,8,0,0,310,315,55,0,None,78
2022-06-11,B045,White Peas,305,6,6,1,0,300,305,60,0,None,80
2022-02-10,C038,Watercress,285,4,2,0,0,280,285,44,0,None,80
2022-04-14,D055,Dagad Phool,295,4,4,0,0,290,295,53,0,None,85
2022-05-11,A050,Runner Beans,275,3,5,0,0,270,275,57,0,None,88
2022-09-05,B045,Yellow Mustard,265,1,9,0,0,260,265,54,0,None,90
2022-11-26,C039,Pistachio Oil,335,6,11,1,0,330,335,51,0,None,82
2022-01-21,D055,Cloves,285,5,1,0,0,280,285,44,0,None,88
2022-08-06,A050,Japanese Millet,325,6,8,1,0,320,325,56,0,None,78
2022-06-12,B046,Black Peas,315,7,6,1,0,310,315,61,0,None,80
2022-02-11,C039,Water Dropwort,295,5,2,0,0,290,295,45,0,None,80
2022-04-15,D056,Licorice Root,305,5,4,0,0,300,305,54,0,None,85
2022-05-12,A051,Asparagus Beans,285,4,5,0,0,280,285,58,0,None,88
2022-09-06,B046,Brown Mustard,275,2,9,0,0,270,275,55,0,None,90
2022-11-27,C040,Pecan Oil,345,7,11,1,0,340,345,52,0,None,82
2022-01-22,D056,Cumin,295,6,1,1,0,290,295,45,0,None,88
2022-08-07,A051,African Millet,335,7,8,1,0,330,335,57,0,None,78
2022-06-13,B047,Green Gram,325,1,6,0,0,320,325,62,0,None,80
2022-02-12,C040,Water Fennel,305,6,2,1,0,300,305,46,0,None,80
2022-04-16,D057,Stone Flower,315,6,4,1,0,310,315,55,0,None,85
2022-05-13,A052,Winged Beans,295,5,5,0,0,290,295,59,0,None,88
2022-09-07,B047,Black Mustard,285,3,9,0,0,280,285,56,0,None,90
2022-11-28,C041,Macadamia Oil,355,1,11,0,0,350,355,53,0,None,82
2022-01-23,D057,Fennel,305,7,1,1,0,300,305,46,0,None,88
2022-08-08,A052,Indian Barnyard Millet,345,1,8,0,0,340,345,58,0,None,78
2022-06-14,B048,Horse Gram,335,2,6,0,0,330,335,63,0,None,80
2022-02-13,C041,Water Parsnip,315,7,2,1,0,310,315,47,0,None,80
2022-04-17,D058,Black Stone Flower,325,7,4,1,0,320,325,56,0,None,85
2022-05-14,A053,Cluster Beans,305,6,5,1,0,300,305,60,0,None,88
2022-09-08,B048,Yellow Mustard,295,4,9,0,0,290,295,57,0,None,90
2022-11-29,C042,Pumpkin Seed Oil,365,2,11,0,0,360,365,54,0,None,82
2022-01-24,D058,Carom Seeds,315,1,1,0,0,310,315,47,0,None,88
2022-08-09,A053,Kodo Millet,355,2,8,0,0,350,355,59,0,None,78
2022-06-15,B049,Green Peas,345,3,6,0,0,340,345,64,0,None,80
2022-02-14,C042,Water Pepper,325,1,2,0,0,320,325,48,0,None,80
2022-04-18,D059,Black Cardamom,335,1,4,0,0,330,335,57,0,None,85
2022-05-15,A054,Yardlong Beans,315,7,5,1,0,310,315,61,0,None,88
2022-09-09,B049,Brown Mustard,305,5,9,0,0,300,305,58,0,None,90
2022-11-30,C043,Sesame Oil,375,3,11,0,0,370,375,55,0,None,82
2022-01-25,D059,Black Salt,325,2,1,0,0,320,325,48,0,None,88
2022-08-10,A054,Foxtail Millet,365,3,8,0,0,360,365,60,0,None,78
2022-06-16,B050,White Peas,355,4,6,0,0,350,355,65,0,None,80
2022-02-15,C043,Water Willow,335,2,2,0,0,330,335,49,0,None,80
2022-04-19,D060,Long Pepper,345,2,4,0,0,340,345,58,0,None,85
2022-05-16,A055,Lablab Beans,325,1,5,0,0,320,325,62,0,None,88
2022-09-10,B050,Black Mustard,315,6,9,1,0,310,315,59,0,None,90
2022-12-01,C044,Sunflower Oil,385,4,12,0,0,380,385,56,0,None,82
2022-01-26,D060,Dill Seeds,335,3,1,0,0,330,335,49,0,None,88
2022-08-11,A055,Proso Millet,375,4,8,0,0,370,375,61,0,None,78
2022-06-17,B051,Black Peas,365,5,6,0,0,360,365,66,0,None,80
2022-02-16,C044,Water Mint,345,3,2,0,0,340,345,50,0,None,80
2022-04-20,D061,Galangal,355,3,4,0,0,350,355,59,0,None,85
2022-05-17,A056,Hyacinth Beans,335,2,5,0,0,330,335,63,0,None,88
2022-09-11,B051,Yellow Mustard,325,7,9,1,0,320,325,60,0,None,90
2022-12-02,C045,Corn Oil,395,5,12,0,0,390,395,57,0,None,82
2022-01-27,D061,Poppy Seeds,345,4,1,0,0,340,345,50,0,None,88
2022-08-12,A056,Little Millet,385,5,8,0,0,380,385,62,0,None,78
2022-06-18,B052,Green Gram,375,6,6,1,0,370,375,67,0,None,80
2022-02-17,C045,Water Celery,355,4,2,0,0,350,355,51,0,None,80
2022-04-21,D062,Stone Flower,365,4,4,0,0,360,365,60,0,None,85
2022-05-18,A057,Snake Beans,345,3,5,0,0,340,345,64,0,None,88
2022-09-12,B052,Brown Mustard,335,1,9,0,0,330,335,61,0,None,90
2022-12-03,C046,Soybean Oil,405,6,12,1,0,400,405,58,0,None,82
2022-01-28,D062,Almonds,355,5,1,0,0,350,355,51,0,None,88
2022-08-13,A057,Kodo Millet,395,6,8,1,0,390,395,63,0,None,78
2022-06-19,B053,Horse Gram,385,7,6,1,0,380,385,68,0,None,80
2022-02-18,C046,Water Hemlock,365,5,2,0,0,360,365,52,0,None,80
2022-04-22,D063,Pathar Phool,375,5,4,0,0,370,375,61,0,None,85
2022-05-19,A058,French Beans,355,4,5,0,0,350,355,65,0,None,88
2022-09-13,B053,Black Mustard,345,2,9,0,0,340,345,62,0,None,90
2022-12-04,C047,Rice Bran Oil,415,7,12,1,0,410,415,59,0,None,82
2022-01-29,D063,Cashew,365,6,1,1,0,360,365,52,0,None,88
2022-08-14,A058,Finger Millet,405,7,8,1,0,400,405,64,0,None,78
2022-06-20,B054,Green Peas,395,1,6,0,0,390,395,69,0,None,80
2022-02-19,C047,Water Lily,375,6,2,1,0,370,375,53,0,None,80
2022-04-23,D064,Kalpasi,385,6,4,1,0,380,385,62,0,None,85
2022-05-20,A059,Broad Beans,365,5,5,0,0,360,365,66,0,None,88
2022-09-14,B054,Yellow Mustard,355,3,9,0,0,350,355,63,0,None,90
2022-12-05,C048,Olive Oil,425,1,12,0,0,420,425,60,0,None,82
2022-01-30,D064,Raisins,375,7,1,1,0,370,375,53,0,None,88
2022-08-15,A059,Browntop Millet,415,1,8,0,0,410,415,65,0,None,78
2022-06-21,B055,White Peas,405,2,6,0,0,400,405,70,0,None,80
2022-02-20,C048,Water Hawthorn,385,7,2,1,0,380,385,54,0,None,80
2022-04-24,D065,Dagad Phool,395,7,4,1,0,390,395,63,0,None,85
2022-05-21,A060,Runner Beans,375,6,5,1,0,370,375,67,0,None,88
2022-09-15,B055,Brown Mustard,365,4,9,0,0,360,365,64,0,None,90
2022-12-06,C049,Avocado Oil,435,2,12,0,0,430,435,61,0,None,82
2022-01-31,D065,Dry Fruits,385,1,1,0,0,380,385,54,0,None,88
2022-08-16,A060,Japanese Millet,425,2,8,0,0,420,425,66,0,None,78
2022-06-22,B056,Black Peas,415,3,6,0,0,410,415,71,0,None,80
2022-02-21,C049,Water Hyacinth,395,1,2,0,0,390,395,55,0,None,80
2022-04-25,D066,Licorice Root,405,1,4,0,0,400,405,64,0,None,85
2022-05-22,A061,Asparagus Beans,385,7,5,1,0,380,385,68,0,None,88
2022-09-16,B056,Black Mustard,375,5,9,0,0,370,375,65,0,None,90
2022-12-07,C050,Grapeseed Oil,445,3,12,0,0,440,445,62,0,None,82
2022-02-01,D066,Charoli,395,2,2,0,0,390,395,55,0,None,88
2022-08-17,A061,African Millet,435,3,8,0,0,430,435,67,0,None,78
2022-06-23,B057,Green Gram,425,4,6,0,0,420,425,72,0,None,80
2022-02-22,C050,Water Lettuce,405,2,2,0,0,400,405,56,0,None,80
2022-04-26,D067,Stone Flower,415,2,4,0,0,410,415,65,0,None,85
2022-05-23,A062,Winged Beans,395,1,5,0,0,390,395,69,0,None,88
2022-09-17,B057,Yellow Mustard,385,6,9,1,0,380,385,66,0,None,90
2022-12-08,C051,Walnut Oil,455,4,12,0,0,450,455,63,0,None,82
2022-02-02,D067,Chironji,405,3,2,0,0,400,405,56,0,None,88
2022-08-18,A062,Indian Barnyard Millet,445,4,8,0,0,440,445,68,0,None,78
2022-06-24,B058,Horse Gram,435,5,6,0,0,430,435,73,0,None,80
2022-02-23,C051,Water Fern,415,3,2,0,0,410,415,57,0,None,80
2022-04-27,D068,Black Stone Flower,425,3,4,0,0,420,425,66,0,None,85
2022-05-24,A063,Cluster Beans,405,2,5,0,0,400,405,70,0,None,88
2022-09-18,B058,Brown Mustard,395,7,9,1,0,390,395,67,0,None,90
2022-12-09,C052,Almond Oil,465,5,12,0,0,460,465,64,0,None,82
2022-02-03,D068,Gond,415,4,2,0,0,410,415,57,0,None,88
2022-08-19,A063,Kodo Millet,455,5,8,0,0,450,455,69,0,None,78
2022-06-25,B059,Green Peas,445,6,6,1,0,440,445,74,0,None,80
2022-02-24,C052,Water Milfoil,425,4,2,0,0,420,425,58,0,None,80
2022-04-28,D069,Black Cardamom,435,4,4,0,0,430,435,67,0,None,85
2022-05-25,A064,Yardlong Beans,415,3,5,0,0,410,415,71,0,None,88
2022-09-19,B059,Black Mustard,405,1,9,0,0,400,405,68,0,None,90
2022-12-10,C053,Hazelnut Oil,475,6,12,1,0,470,475,65,0,None,82
2022-02-04,D069,Khus Khus,425,5,2,0,0,420,425,58,0,None,88
2022-08-20,A064,Foxtail Millet,465,6,8,1,0,460,465,70,0,None,78
2022-06-26,B060,White Peas,455,7,6,1,0,450,455,75,0,None,80
2022-02-25,C053,Water Nymph,435,5,2,0,0,430,435,59,0,None,80
2022-04-29,D070,Long Pepper,445,5,4,0,0,440,445,68,0,None,85
2022-05-26,A065,Lablab Beans,425,4,5,0,0,420,425,72,0,None,88
2022-09-20,B060,Yellow Mustard,415,2,9,0,0,410,415,69,0,None,90
2022-12-11,C054,Pistachio Oil,485,7,12,1,0,480,485,66,0,None,82
2022-02-05,D070,Basil Seeds,435,6,2,1,0,430,435,59,0,None,88
2022-08-21,A065,Proso Millet,475,7,8,1,0,470,475,71,0,None,78
2023-01-14,B001,Ghee,142,6,1,1,1,92,105,18,1,Makar Sankranti,82
2023-01-14,D002,Jaggery,87,6,1,1,1,65,72,18,1,Makar Sankranti,82
2023-03-08,B002,Besan,203,3,3,0,1,118,132,28,1,Holi,88
2023-03-08,C001,Sugar,155,3,3,0,1,98,110,28,1,Holi,88
2023-10-24,B001,Ghee,318,2,10,0,1,210,235,25,1,Diwali,95
2023-10-24,C001,Sugar,276,2,10,0,1,185,205,25,1,Diwali,95
